Cordaím, cuirim corda ar, ceanglaím le corda	V,VsNPp,VsoPN	cordaigh, cuir corda ar, ceangail le corda
Ligeann, casann, uaill	VsN	lig uaill, cas uaill
Scaoileann, tagann amach	VsAdv	scaoil amach, tar amach
Cuirim in eagar, in ordú	VsPN	cuir in eagar, cuir in ordú
Cuirim, gearraim, cáin (ar earra, etc.)	VsNPp	cuir cáin ar, gearr cáin ar
Cuirim (an-)iontas, (an-)ionadh, ar	VsAPp	cuir iontas ar, cuir an-iontas ar, cuir ionadh ar, cuir an-ionadh ar
Caitheann, buaileann, chuig a chéile (liathróid, etc.)	VsoPDN	caith chuig a chéile, buail chuig a chéile
Caithim, déanaim, fleá	VsN	caith fleá, déan fleá
Cromaim anuas, síos	VsAdv	crom anuas, crom síos
Lúbaim síos, anuas	VsAdv	lúb síos, lúb anuas
Scríobhaim m'ainm (i leabhar)	VsPosN	scíobh ainm	sínigh
Cuirim díomá, diomú, múisiam, ar	VsNPp	cuir díomá ar, cuir diomú ar, cuir múisiam ar
cuirim fearas, trealamh (i muileann, siopa, etc.)	VsN	cuir fearas, cuir trealamh
